ra,dec,mag,proper
1.158368,47.241792,4.26,
1.162194,35.620558,2.07,Mirach
1.163667,19.658408,5.57,
1.17188,42.081475,5.67,
1.17207,25.457763,5.81,
1.175987,2.44567,5.97,
1.177579,68.778621,5.32,
1.185017,55.149901,4.34,
1.185213,31.424736,5.15,
1.186189,37.724121,5.8,
1.190428,64.202677,5.56,
1.190894,21.03465,4.66,
1.194342,30.089638,4.51,
1.194829,65.018854,5.57,
1.195419,-2.251079,5.93,
1.204601,79.673963,5.6,
1.212616,-37.856479,5.95,
1.228857,7.575354,5.21,Revati
1.229152,24.583713,4.67,
1.235453,16.133479,5.97,
1.240011,-7.922826,5.14,
1.246992,-0.973795,5.7,
1.253043,-45.531664,4.97,
1.262704,-68.875927,4.25,
1.269972,71.743842,5.87,
1.276747,-2.500368,5.42,
1.296654,3.614466,5.13,
1.324443,27.264059,4.74,
1.330082,-0.509029,5.87,
1.334699,58.231611,4.95,
1.352047,28.738207,5.23,
1.372337,45.528778,4.87,Adhil
1.390264,20.468967,5.97,
1.391933,-30.945617,5.84,
1.394612,37.714943,5.6,
1.40039,-8.183257,3.6,
1.405695,-6.914656,5.92,
1.411329,-41.492549,5.42,
1.418136,-64.369478,5.92,
1.427009,-14.598796,4.9,
1.430216,60.235283,2.66,Ruchbah
1.432208,68.130012,4.72,
1.437573,19.172346,5.35,
1.438517,43.457739,5.98,
1.44491,19.240422,5.5,
1.447657,-13.056512,5.51,
1.460915,45.406687,4.83,
1.472759,-43.318234,3.41,
1.49337,-21.629339,5.11,
1.501695,47.007274,5.27,
1.503087,6.14382,4.84,
1.506362,-26.207851,5.92,
1.520444,70.264604,5.82,
1.520851,-49.072702,3.93,
1.524725,15.345823,3.62,Alpherg
1.52868,-30.283081,5.79,
1.548903,-36.865231,5.49,
1.557142,58.327334,5.69,
1.561899,-7.025341,5.75,
1.565528,59.23204,4.68,
1.571279,37.237146,5.9,
1.57716,-15.676359,5.62,
1.580296,18.460512,5.9,
1.598542,17.433841,5.95,
1.599713,-15.400183,5.41,
1.602361,-29.907317,5.69,
1.613299,41.405459,4.1,Titawin
1.61831,12.141535,5.54,
1.624389,-84.769593,5.66,
1.628556,-57.236757,0.45,Achernar
1.631959,-82.974995,5.88,
1.633205,48.628213,3.59,Nembus
1.635435,57.977631,5.55,
1.640968,-36.528251,5.94,
1.641926,73.04004,5.28,
1.647718,-21.275384,5.58,
1.655835,44.386165,5.01,
1.661338,16.405858,5.98,
1.663169,-56.1964,5.76,p Eridani
1.676337,40.577049,4.96,
1.677674,43.297687,5.63,
1.690526,5.487613,4.45,
1.694233,30.04712,5.97,
1.695787,-11.324669,5.75,
1.696383,42.613369,4.96,
1.696655,-60.789339,5.7,
1.700833,-36.832305,5.7,
1.700968,35.245707,5.63,
1.702389,-32.32697,5.25,
1.705688,68.043021,5.57,
1.708125,-53.740834,5.52,
1.70827,20.268504,5.24,
1.712086,-3.6902,4.98,
1.715493,70.622526,5.18,
1.722151,60.551332,5.78,
1.727675,50.688732,4.01,
1.734479,-15.93748,3.49,
1.756564,9.157736,4.26,Torcular
1.760763,-25.05261,5.29,
1.766461,-5.733299,5.37,
1.76832,-50.816256,5.49,
1.768392,-53.522037,5.04,
1.795668,63.852501,5.63,
1.803038,16.955551,5.86,
1.807227,3.685447,5.91,
1.810808,37.95287,5.94,
1.81155,32.69021,5.78,
1.826418,-10.68641,4.66,
1.835714,22.275338,5.83,
1.84777,11.043378,5.92,
1.848459,-50.206138,5.94,
1.849198,51.933417,5.96,
1.857676,-10.335038,3.74,Baten Kaitos
1.866476,55.147385,5.53,
1.869268,50.792794,5.7,
1.881142,-16.92925,5.78,
1.884696,29.578829,3.42,Mothallah
1.888152,40.72979,5.42,
1.89217,19.293852,3.88,Mesarthim
1.892597,3.187536,4.61,
1.894102,-46.302669,4.39,
1.906122,-42.49695,5.12,
1.906584,63.670101,3.35,Segin
1.910668,20.808035,2.64,Sheratan
1.915572,-67.647303,4.68,
1.930844,23.577322,5.76,
1.9318,37.277786,5.89,
1.932564,-51.608896,3.69,
1.933337,68.685242,4.97,
1.935927,37.25183,5.69,
1.944499,-22.526785,4.92,
1.952792,-47.385277,4.82,
1.955848,17.817532,5.09,
1.962151,27.804381,5.84,
1.965478,23.596061,4.79,
1.975973,49.204352,5.7,
1.979451,-61.569859,2.86,
1.993244,21.05857,5.89,
1.993892,64.621602,5.29,
1.994118,-42.030532,5.57,
1.996166,-20.824539,5.43,
2.000084,-21.077831,3.99,
2.002544,3.097015,5.89,
2.007451,-8.523873,5.43,
2.020759,-30.00183,5.34,
2.02844,-44.713509,5.15,
2.032644,70.90702,4.49,
2.034117,2.763759,3.82,Alrescha
2.038359,54.487541,4.99,
2.043077,13.476716,5.97,
2.049433,33.284135,5.5,
2.049602,-15.305932,5.87,
2.050052,64.390018,5.59,
2.053236,0.128507,5.42,
2.057268,72.421294,3.95,
2.060927,25.935471,5.64,
2.061247,-4.103516,5.61,
2.063381,-0.340251,5.96,
2.064984,42.329725,2.1,Almach
2.074844,-29.296819,4.68,
2.085315,77.281341,5.27,
2.092103,76.11506,5.22,
2.109423,22.648317,5.03,
2.119555,23.462423,2.01,Hamal
2.141454,37.859077,4.78,
2.144606,58.423601,5.66,
2.152584,-43.516596,5.84,
2.157036,25.939892,4.98,
2.159058,34.987297,3.0,
2.177109,19.500338,5.68,
2.189189,8.569805,5.64,
2.193287,-1.825429,5.94,
2.206191,30.303067,4.94,
2.210427,24.167778,5.96,
2.213206,-2.393637,5.65,
2.213355,21.210993,5.23,
2.21513,-30.723825,5.27,
2.216665,8.846717,4.36,
2.21694,-21.000137,5.86,
2.217584,15.27986,5.72,
2.220369,44.231652,4.84,
2.226728,51.065818,5.31,
2.237366,-67.841441,5.57,
2.242208,-41.166765,5.91,
2.25794,-67.746366,5.67,
2.261884,25.043043,5.57,
2.262789,25.782937,5.79,
2.265635,33.358895,5.25,
2.275154,-51.512165,3.56,
2.283068,-6.422116,5.51,
2.284191,34.224231,4.84,
2.288573,33.847194,4.03,
2.29996,57.89982,5.75,
2.3004,1.757802,5.6,
2.301275,57.516321,5.99,
2.302094,19.901164,5.58,
2.315831,28.642674,5.29,
2.321337,47.379973,5.31,
2.331739,-55.944796,5.81,
2.349499,50.151466,5.57,
2.362498,-68.659418,4.08,
2.36573,0.395675,5.29,
2.367092,-10.777534,5.43,
2.368051,-17.662169,5.89,
2.37011,-0.884852,5.42,
2.372621,55.845653,5.16,
2.375704,-23.816326,5.19,
2.380644,41.396297,5.81,
2.38123,-73.645792,5.99,
2.381852,-51.092129,5.9,
2.406919,50.006546,5.19,
2.413627,10.610565,5.48,
2.414987,-60.311947,5.36,
2.42706,50.278631,4.73,
2.432501,-12.29048,4.88,
2.433431,-15.341247,5.88,
2.443115,-20.042617,5.89,
2.449755,-47.70384,4.24,
2.457715,31.80128,5.55,
2.467139,-33.811039,5.13,
2.469317,8.460054,4.3,
2.469439,29.66933,5.29,
2.480139,29.93176,5.89,
2.484437,67.402474,4.46,
2.508986,25.235036,5.88,
2.525027,2.267182,5.27,
2.527834,-79.109382,5.27,
2.52975,89.264109,1.97,Polaris
2.534786,-15.244677,4.74,
2.535045,36.147271,5.15,
2.53595,-1.034896,5.36,
2.547952,34.54241,5.84,
2.551952,-34.649967,5.91,
2.564085,-28.232343,4.96,
2.578507,-7.859445,5.74,
2.594095,37.312263,5.72,
2.596336,34.687558,5.38,
2.597909,5.593246,4.87,
2.600013,-7.831597,5.53,
2.601357,6.88687,5.79,268 G. Cet
2.602574,-30.044978,5.74,
2.609742,7.730026,5.81,
2.610531,12.447639,5.64,
2.615879,38.733581,5.91,
2.616281,-34.577977,5.78,
2.623425,-52.543086,5.3,
2.626676,65.745336,5.8,
2.628278,-3.396175,5.65,
2.633909,72.818252,5.17,
2.638515,-30.194062,5.84,
2.646943,21.961408,5.45,
2.658044,0.328511,4.08,
2.659398,-11.872156,4.83,
2.659799,-68.266946,4.12,
2.663326,-42.89167,4.74,
2.670117,-9.452875,5.79,
2.677666,-54.549911,5.21,
2.677781,-39.855375,4.11,
2.678075,27.060943,5.3,
2.687222,-0.695653,5.72,
2.692814,-14.549276,5.98,
2.701834,-38.383686,5.99,
2.704144,40.193944,4.91,
2.706094,20.011465,5.74,
2.709265,-50.800294,5.4,
2.716528,53.526105,5.85,
2.717451,55.106019,5.76,
2.721678,3.235818,3.47,Kaffaljidhma
2.724198,27.707146,4.65,
2.734766,44.29704,5.43,
2.735375,-13.858696,4.24,
2.736634,49.228448,4.1,
2.742493,15.311862,5.78,
2.747133,67.82463,5.95,
2.749039,10.114146,4.27,
2.749328,12.445761,5.17,
2.751715,-18.572563,4.47,
2.757629,-63.704553,5.73,
2.759048,-67.616617,4.83,
2.796568,81.448475,5.8,
2.79848,29.247118,4.52,Lilii Borea
2.808913,18.28379,5.83,
2.81275,25.188064,5.89,
2.817062,-62.806521,5.25,
2.818169,-32.405898,4.45,
2.821544,17.464309,5.26,
2.831716,-27.941981,5.39,
2.833063,27.260507,3.61,Bharani
2.837438,-35.843636,5.92,
2.841255,-75.066947,4.76,
2.843063,38.318644,4.22,
2.844557,-35.675849,5.48,
2.844945,55.895496,3.77,Miram
2.850645,-21.004019,4.76,Angetenar
2.858218,15.082071,5.52,
2.858566,35.059741,4.56,
2.861594,46.841939,5.86,
2.866319,68.888497,5.94,
2.892885,-38.437004,5.93,
2.893144,-22.376308,5.93,
2.895168,38.337488,5.34,
2.904295,52.762479,3.93,
2.930138,18.33164,5.76,
2.932452,61.521138,5.59,
2.937158,8.381563,5.97,
2.940458,-8.898144,3.89,Azha
2.940596,18.023119,5.58,
2.943729,-3.71232,5.16,
2.954801,31.934219,5.1,
2.9566,-23.862164,5.44,
2.968114,20.668733,5.8,
2.968258,-23.606012,5.82,
2.971023,-40.304672,2.88,Acamar
2.978355,-2.782877,5.22,
2.979352,39.662728,4.68,
2.979939,-64.071284,4.98,
2.984356,35.183128,4.94,
2.986868,21.340429,4.63,
2.993381,-25.274133,5.69,
2.99441,41.032941,5.89,
2.994767,-2.464952,5.56,
2.99525,8.907365,4.71,
2.997164,47.220693,5.47,
3.012261,10.870388,5.93,
3.014501,52.351744,5.24,
3.019451,-7.663012,5.75,
3.027115,-28.091554,5.88,
3.031706,26.462354,5.91,
3.032255,-9.961407,5.84,
3.037615,-71.902457,5.51,
3.037992,4.089734,2.54,Menkar
3.039588,4.352884,5.62,
3.039863,-23.624472,4.08,
3.045076,-7.685472,5.32,
3.048849,-46.975036,5.81,
3.060239,-59.737775,5.12,
3.071254,-7.600857,5.26,
3.079942,53.50644,2.91,
3.08627,38.840274,3.32,
3.090747,25.255174,5.45,
3.092338,56.705719,4.77,
3.102203,79.418535,5.49,
3.106579,13.18725,5.64,
3.109303,-6.088555,5.23,
3.121947,64.057594,5.89,
3.125541,-78.989244,5.67,
3.136148,40.955648,2.09,Algol
3.151005,49.613278,4.05,
3.158258,44.857544,3.79,Misam
3.160206,29.07708,5.74,
3.177443,11.872627,5.97,
3.188163,39.611582,4.61,
3.193822,19.726677,4.35,Botein
3.195229,81.47071,5.92,
3.198957,74.393659,4.85,
3.201249,-28.987618,3.8,Dalim
3.203957,27.256968,5.78,
3.207146,-44.41966,5.92,
3.207324,6.660883,5.55,
3.209209,-57.321549,5.71,
3.212899,-1.196101,5.07,
3.223297,48.176953,5.93,
3.24836,21.044441,4.87,
3.255677,30.556689,5.61,
3.263325,57.14062,5.79,
3.263896,-8.81973,4.8,Zibal
3.265951,-77.388454,5.51,
3.270057,50.937664,5.04,
3.276442,32.184018,5.98,
3.290722,-47.751664,5.84,
3.295903,-62.575322,5.53,
3.296042,39.283373,5.97,
3.296485,44.025024,5.49,
3.300717,-28.797075,5.93,
3.303309,-62.506363,5.24,
3.30614,-22.511118,4.86,
3.306229,-0.930288,5.62,
3.310482,50.222174,5.16,
3.311429,-18.559794,5.72,
3.312174,34.222653,4.85,
3.318787,50.094966,5.05,
3.322693,3.370198,4.84,
3.325278,-21.757864,3.7,
3.326363,-24.122902,5.63,
3.331944,-43.069784,4.26,82 G. Eri
3.332166,27.071134,5.91,
3.333129,65.652292,4.74,
3.338783,77.73474,5.44,
3.338989,29.048458,4.47,
3.35189,3.67562,5.7,
3.353784,21.147086,5.27,
3.35667,-23.635135,5.5,
3.357381,43.329651,4.96,
3.364577,49.070905,5.94,
3.36997,27.607553,5.55,
3.379234,20.742069,5.1,
3.386997,49.213269,5.32,
3.405132,24.724063,5.5,
3.405378,49.86118,1.79,Mirfak
3.408249,33.535962,5.78,
3.411267,64.585996,5.13,
3.413554,9.02887,3.61,
3.426737,-69.336436,5.96,
3.43959,-27.317479,5.93,
3.45282,9.73268,3.73,
3.459281,-35.681323,5.71,
3.46693,-11.2866,5.74,
3.467517,49.062866,4.99,
3.472416,33.807557,5.72,
3.4812,49.848384,5.58,
3.484482,59.94033,4.21,
3.489456,49.508948,4.67,
3.489558,-62.937527,4.71,
3.493341,-12.674737,5.57,
3.49854,58.87875,4.55,
3.498656,-42.634256,5.76,
3.4997,-78.35185,5.68,
3.500057,55.451808,5.09,
3.506797,11.336442,5.14,
3.509579,47.995216,4.36,
3.51026,-47.375125,5.98,
3.510262,48.103596,5.82,
3.510294,-5.075145,4.74,
3.512617,6.188703,5.93,
3.514359,-66.489714,5.81,
3.514549,12.936678,4.14,
3.535721,48.023476,5.47,
3.53882,84.91104,5.62,
3.540631,46.056862,5.3,
3.542992,-50.378646,5.67,
3.543319,9.373438,5.76,
3.544449,35.461729,5.91,
3.548848,-9.458262,3.72,Ran
3.559731,39.899478,5.79,
3.560855,54.974857,5.98,
3.563132,-21.632883,4.26,
3.574062,24.464393,5.95,
3.599352,-11.193782,5.56,
3.604837,-17.467064,5.24,
3.608159,48.192634,4.32,
3.613136,0.587758,5.82,
3.614551,0.401662,4.29,
3.618244,-40.274545,4.57,
3.641459,-7.391863,5.86,
3.65031,-5.62621,5.97,
3.664201,3.056863,5.55,
3.677315,-5.210706,5.53,
3.685515,37.580198,5.55,
3.702594,63.216806,5.06,
3.704139,-31.938361,4.99,
3.705263,19.700254,5.68,
3.706291,33.965026,4.97,
3.711871,59.969391,5.74,
3.713908,-37.313518,4.59,
3.715416,47.787551,3.01,
3.720806,-9.763395,3.52,Rana
3.726065,-10.485661,5.59,
3.736593,-64.806903,3.84,
3.738648,32.288248,3.84,Atik
3.741808,-1.163091,5.24,
3.742062,36.460103,5.6,
3.746726,24.28947,5.45,Celaeno
3.747927,24.113339,3.72,Electra
3.749027,-0.29672,5.56,
3.752705,24.83926,5.66,
3.753232,42.578549,3.77,
3.75347,24.467278,4.3,Taygeta
3.75441,-47.359476,5.72,
3.761234,6.049991,5.34,
3.763779,24.367748,3.87,Maia
3.765132,24.554511,5.76,Asterope
3.76646,45.681899,5.66,
3.766907,67.201605,5.79,
3.767314,63.345047,4.78,
3.769037,-12.101589,4.43,
3.769267,6.80352,5.91,
3.772104,23.948358,4.14,Merope
3.774286,-29.338157,5.91,
3.780804,-23.249723,4.22,
3.787295,-74.238962,3.26,
3.79141,24.105137,2.85,Alcyone
3.794347,-23.874677,5.24,
3.7989,-30.167882,5.52,
3.804519,11.143294,5.08,
3.805782,23.42125,5.44,
3.809918,-20.902977,5.81,
3.809963,-37.620155,4.3,
3.810821,0.227857,5.91,
3.818922,43.963095,5.95,
3.819373,24.053415,3.62,Atlas
3.819782,24.136712,5.05,Pleione
3.820476,70.87105,5.4,
3.824237,-36.20025,4.17,
3.825357,65.525972,4.39,
3.825748,33.091382,5.14,
3.826836,63.296967,5.82,
3.834564,44.967856,5.65,
3.838593,25.579362,5.24,
3.839302,71.332266,4.59,
3.864922,34.359119,5.78,
3.86673,6.534907,5.66,
3.878238,-5.361259,5.48,
3.886123,17.327083,5.97,
3.892587,-46.893674,5.93,
3.894081,48.650495,5.76,
3.894151,-34.732297,5.11,
3.895195,-24.61223,4.64,
3.895345,57.975141,5.8,
3.9022,31.883635,2.84,
3.904862,-2.95473,4.46,
3.906435,-40.357009,5.7,
3.921147,-12.099105,5.99,
3.932824,47.87142,5.39,
3.941303,35.080899,5.49,
3.94347,50.695381,5.28,
3.947798,22.477971,5.62,
3.952303,61.108883,4.99,
3.957067,63.072264,4.95,
3.96423,40.010215,2.9,
3.967157,-13.508515,2.97,Zaurak
3.979095,-61.400185,4.56,
3.981221,-5.469947,5.85,
3.98275,35.791033,3.98,Menkib
3.991703,-12.574425,5.61,
3.998745,-24.016215,4.62,
4.011292,-30.490697,5.93,
4.011338,12.490347,3.41,
4.013545,18.194,5.89,
4.014946,-62.159284,4.48,
4.021697,-61.078822,4.97,
4.025569,-1.54966,5.28,
4.029482,9.998017,5.67,
4.04354,-0.268923,5.38,
4.052606,5.989305,3.91,
4.06239,5.435624,5.32,
4.065723,8.197269,5.45,
4.06941,2.826947,5.36,
4.072687,24.105993,5.46,
4.072977,-12.792295,5.62,
4.074212,59.155507,5.0,
4.078253,22.081926,4.36,
4.088958,22.008905,5.9,
4.093728,-27.651807,5.59,
4.100882,68.679972,5.88,
4.109735,50.351262,4.25,
4.110114,27.599903,5.18,
4.116795,29.001299,5.21,
4.133171,17.339897,5.89,
4.143497,38.039733,5.52,
4.144357,47.712513,3.96,
4.150436,13.398281,5.94,
4.152768,19.609217,5.51,
4.154954,-16.385875,5.45,
4.166752,86.626139,5.84,
4.167439,80.698681,5.1,
4.172923,-6.923852,5.44,
4.179935,-8.819814,5.7,
4.180517,26.480952,5.39,
4.180708,-41.993573,4.93,
4.183061,33.586792,5.75,
4.188967,5.523047,5.71,
4.193389,-20.356157,5.8,
4.197761,-6.837581,4.04,Beid
4.225862,7.716045,5.29,
4.232329,9.263824,4.84,
4.233363,-42.294368,3.85,
4.239914,-10.256283,4.87,
4.240404,-62.473858,3.33,
4.243398,10.011406,5.22,
4.246819,-62.191811,5.45,
4.248143,40.483671,4.67,
4.248295,48.409331,4.12,
4.254537,-7.652871,4.43,Keid
4.258905,8.892357,4.27,
4.267097,-51.486648,4.26,
4.274738,-59.302156,4.44,
4.278638,53.611799,5.2,
4.281542,61.849989,5.69,
4.28558,57.860355,5.72,
4.287684,20.578591,4.93,
4.288673,-6.472177,5.95,
4.294519,-63.255405,5.88,
4.298237,-33.798348,3.55,
4.299776,-80.214033,5.67,
4.304056,50.295502,4.6,
4.306444,21.579297,5.64,
4.320339,50.048695,5.46,
4.321301,-44.267919,5.33,
4.323916,21.142307,5.5,
4.326862,21.773491,5.34,
4.329889,15.627642,3.65,Prima Hyadum
4.332695,14.035201,5.58,
4.336531,50.920933,5.55,
4.337341,41.80807,5.95,
4.339227,27.350754,4.97,
4.340178,34.566725,4.93,
4.343419,15.095453,5.26,
4.34417,-20.639622,5.38,
4.344541,65.140441,5.26,
4.34479,6.130798,5.76,
4.345232,-7.592493,5.85,
4.349455,-81.57992,5.78,
4.357511,-0.09817,5.86,
4.359211,46.498878,4.8,
4.363227,60.735625,5.4,
4.364392,56.506317,5.91,
4.364796,-63.386391,5.24,
4.367643,14.077198,5.72,
4.372981,20.821416,5.91,
4.376373,25.629314,5.38,
4.382247,17.542514,3.77,Secunda Hyadum
4.384909,-24.892157,5.81,
4.390294,16.77726,5.64,
4.394681,-3.74547,5.17,
4.397729,9.460968,5.1,
4.400613,-34.016846,3.97,Beemim
4.401599,17.44413,4.8,
4.408098,34.130758,5.73,
4.410404,33.959686,5.77,
4.415868,19.042013,5.97,
4.418153,-61.238193,5.94,
4.422822,22.293874,4.21,
4.423614,22.199998,5.27,
4.424828,17.92791,4.3,
4.435084,31.438911,5.29,
4.438461,22.813583,4.28,
4.439094,15.618265,4.48,
4.443437,14.713782,4.69,
4.450806,80.824159,5.42,
4.454847,22.996337,5.53,
4.457991,11.2123,5.87,
4.462788,-62.521206,5.74,
4.466883,21.619907,5.72,
4.470359,83.80779,5.51,
4.473167,14.740974,5.9,
4.473992,16.359672,4.96,
4.475589,1.380821,5.53,
4.476248,15.962181,3.84,
4.476943,19.180431,3.53,Ain
4.47751,-19.458874,5.95,
4.477705,15.870883,3.4,Chamukuy
4.480601,13.047602,5.02,
4.485257,-13.04837,5.61,
4.500159,83.340379,5.47,
4.502388,15.63784,5.58,
4.509342,16.194014,4.78,
4.510378,13.724402,5.4,
4.510802,15.691879,5.47,
4.511203,-35.653504,5.95,
4.513916,-44.953749,5.07,
4.531296,-0.044011,4.91,
4.533845,53.91083,5.78,
4.543765,-3.209541,5.76,
4.558511,72.528605,5.94,
4.55849,-29.766492,4.49,
4.559453,-62.823677,5.79,
4.564143,14.844424,4.65,
4.565202,-6.738908,5.71,
4.566598,-55.044975,3.3,
4.568963,5.568616,5.67,
4.569897,-8.231352,5.2,
4.569936,-8.970258,5.24,
4.57722,28.96115,5.88,
4.592512,-30.562341,3.81,Theemin
4.594239,10.16079,4.25,
4.598677,16.509301,0.87,Aldebaran
4.605317,-3.352459,3.93,
4.606727,64.261602,5.91,
4.611508,41.264808,4.25,
4.612677,-62.077154,5.59,
4.620465,0.998314,5.32,
4.626703,-2.473548,5.22,
4.635956,16.033291,5.78,
4.635961,12.510838,4.27,
4.63634,-14.30402,3.86,Sceptrum
4.637731,20.684722,5.85,
4.64821,-12.123121,4.99,
4.65171,7.870976,5.38,
4.65256,15.799846,5.08,
4.654583,15.917977,4.67,
4.655475,-14.359192,5.46,
4.66519,53.079535,5.07,
4.666126,53.473021,5.36,
4.667616,12.197609,5.45,
